AccountCode,AccountName,PayElementName,ToolTypePayment,CabinetOfficeReturns
51111001,Salaries - Permanent UK Staff,GSSC Arrears OMP Deduction,Do Not Use In Forecast,N
51111001,Salaries - Permanent UK Staff,GSSC Arrears OMP Payment,Do Not Use In Forecast,N
51112002,GSSC Statutory Maternity Pay,GSSC Arrears Statutory Maternity Pay,Do Not Use In Forecast,N
51114001,Allowances - Permanent UK Staff,BIS London Enhancement Accountant,Basic Pay,Y
51115001,Overtime - Permanent UK Staff,BIS Bank Holiday Overtime 200,Do Not Use In Forecast,N
51114001,Allowances - Permanent UK Staff,BIS Pivotal Role Allowance,Basic Pay,Y
51171007,Other Allowances,BIS Car Allowance,Do Not Use In Forecast,N
52121009,Child Care,BIS Childcare Voucher Admin Fee Employer,Do Not Use In Forecast,N
52121009,Child Care,BIS Childcare Vouchers Employer Funded,Do Not Use In Forecast,N
51114001,Allowances - Permanent UK Staff,BIS London Enhancement Librarianship,Basic Pay,Y
51111001,Salaries - Permanent UK Staff,BIS Arrears Special Merit Bonus,Do Not Use In Forecast,N
51111001,Salaries - Permanent UK Staff,GSSC OAP Deduction,Do Not Use In Forecast,N
51111001,Salaries - Permanent UK Staff,GSSC OAP Payment,Do Not Use In Forecast,N
51112002,GSSC Statutory Maternity Pay,GSSC Statutory Adoption Pay,Do Not Use In Forecast,N
51111001,Salaries - Permanent UK Staff,BIS Childcare Vouchers Adjust,Do Not Use In Forecast,N
51114001,Allowances - Permanent UK Staff,BIS Arrears Keep in Touch Days New,Do Not Use In Forecast,N
51111001,Salaries - Permanent UK Staff,BIS Flexi Hours Pay,Do Not Use In Forecast,N
51114001,Allowances - Permanent UK Staff,BIS Arrears Retention Pay Additional,Do Not Use In Forecast,N
51111001,Salaries - Permanent UK Staff,BIS Arrears Non Consolidated Perf Non Pens,Do Not Use In Forecast,N
51111001,Salaries - Permanent UK Staff,GSSC Arrears Unpaid Parental Leave,Do Not Use In Forecast,N
51113001,Employer's Pension Costs - Permanent UK Staff,BIS Pension Payment,Superannuation,Y
